Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
DirecTV-7S,USA,"DirecTV, Inc. ",Commercial,Communications,GEO,35774,35797,1436.1,5483,5/4/04,2004-016A,28238,Direct-to-home TV; 54 transponders.
DirecTV-8,USA,"DirecTV, Inc.",Commercial,Communications,GEO,35777,35796,1436.1,3800,5/22/05,2005-019A,28659,36 Ku- and Ka-band transponders.
DirecTV-9S,USA,"DirecTV, Inc.",Commercial,Communications,GEO,35774,35798,1436.1,5500,10/13/06,2006-043A,29494,"52 Ku-band and 2 Ka-band transponders; direct-to-home, voice, video and internet."
DLR Tubsat ,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,LEO,712,732,99.2,45,5/26/99,1999-029B,25757,Transmits image of its own view; not currently used for scientific mission but operational.
DMC 3-1 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,LEO,636,663,97.71,447,7/10/15,2015-032A,40715,"Being used commercially, but can provide data for disaster monitoring."
DMC 3-2 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,LEO,636,663,97.71,447,7/10/15,2015-032B,40716,Second generation.
DMC 3-3 (Disaster Monitoring Constellation),United Kingdom,Surrey Satellite Technologies Ltd.,Commercial,Earth Observation,LEO,636,661,97.69,447,7/10/15,2015-032C,40717,Second generation.
"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",USA,DoD/NOAA,Military,Earth Observation,LEO,842,855,101.9,1134,4/4/97,1997-012A,24753,Near-polar orbits; investigate Earth's environment.
"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",USA,DoD/NOAA,Military,Earth Observation,LEO,837,851,101.8,1152,12/12/99,1999-067A,25991,Near-polar orbits; investigate Earth's environment. Problem with SSM/1 sensor to track sea ice.
"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",USA,DoD/NOAA,Military,Earth Observation,LEO,843,852,101.87,1154,10/18/03,2003-048A,28054,Near-polar orbits; investigate Earth's environment.
"DMSP 5D-3 F17 (Defense Meteorological Satellites Program, USA 173)",USA,DoD/NOAA,Military,Earth Observation,LEO,842,855,101.89,1154,11/4/06,2006-050A,29522,Near-polar orbits; investigate Earth's environment.
"DMSP 5D-3 F18 (Defense Meteorological Satellites Program, USA 210)",USA,DoD/NOAA,Military,Earth Observation,LEO,842,859,101.94,1155,10/18/09,2009-057A,35951,Near-polar orbits; investigate Earth's environment.
Dove 1c-1  (0 Flock 1C-1 0903),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,605,621,96.96,4,6/19/14,2014-033T,40027,
Dove 1c-10  (0 Flock 1C-10 090C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,604,621,96.95,4,6/19/14,2014-033P,40023,
Dove 1c-11 (0 Flock 1C-11 090D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,606,622,96.98,4,6/19/14,2014-033Z,40033,
Dove 1c-2  (0 Flock 1C-2 0904),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,605,623,96.98,4,6/19/14,2014-033V,40029,
Dove 1c-3  (0 Flock 1C-3 0905),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,608,624,97.02,4,6/19/14,2014-033AH,40041,
Dove 1c-4  (0 Flock 1C-4 0906),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,607,622,96.98,4,6/19/14,2014-033X,40031,
Dove 1c-5  (0 Flock 1C-5 0907),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,606,625,97.01,4,6/19/14,2014-033AE,40038,
Dove 1c-6  (0 Flock 1C-6 0908),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,607,622,96.99,4,6/19/14,2014-033AC,40036,
Dove 1c-7  (0 Flock 1C-7 0909),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,606,620,96.96,4,6/19/14,2014-033S,40026,
Dove 1c-8  (0 Flock 1C-8 090A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,607,625,97.02,4,6/19/14,2014-033AG,40040,
Dove 1c-9  (0 Flock 1C-9 090B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,607,623,96.99,4,6/19/14,2014-033AB,40035,
Dove 2e-1 (0 Flock 2E-1 0C37),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,404,407,92.6,4,5/17/16,1998-067JD,41483,
Dove 2e-10 (0 Flock 2E-10 0C82),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,402,92.5,4,6/1/16,1998-067JW,41572,
Dove 2e-11 (0 Flock 2E-11 0C13),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,397,403,92.5,4,6/1/16,1998-067JY,41574,
Dove 2e-12 (0 Flock 2E-12 0C79),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,395,406,92.5,4,6/1/16,1998-067JX,41573,
Dove 2e-2 (0 Flock 2E-2 0C78),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,403,406,92.6,4,5/17/16,1998-067JE,41484,
Dove 2e-3 (0 Flock 2E-3 0C60),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,404,408,92.5,4,5/17/16,1998-067JG,41486,
Dove 2e-4 (0 Flock 2E-4 0C41),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,402,407,92.5,4,5/17/16,1998-067JH,41487,
Dove 2e-5 (0 Flock 2E-5 0C43),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,403,92.5,4,5/30/16,1998-067JN,41564,
Dove 2e-6 (0 Flock 2E-6 0C75),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,400,402,92.5,4,5/30/16,1998-067JM,41563,
Dove 2e-7 (0 Flock 2E-7 0C24),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,403,92.5,4,5/31/16,1998-067JP,41565,
Dove 2e-8 (0 Flock 2E-8 0C2B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,397,404,92.5,4,5/31/16,1998-067JQ,41566,
Dove 2e-9 (0 Flock 2E-9 0C14),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,403,92.5,4,6/1/16,1998-067JV,41571,
Dove 2ep-1 (0 Flock 2EP-1 0D05),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,402,92.5,4,5/17/16,1998-067HZ,41479,
Dove 2ep-10 (0 Flock 2EP-10 0C65),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,403,92.5,4,6/3/16,1998-067KA,41576,
Dove 2ep-11 (0 Flock 2EP-11 0C27),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,397,403,92.5,4,6/3/16,1998-067KB,41577,
Dove 2ep-12 (0 Flock 2EP-12 0C81),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,403,92.5,4,6/3/16,1998-067KC,41578,
Dove 2ep-13 (0 Flock 2EP-13 0C45),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,397,408,92.6,4,9/15/16,1998-067KH,41761,
Dove 2ep-14 (0 Flock 2EP-14 0C56),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,397,408,92.6,4,9/15/16,1998-067KJ,41762,
Dove 2ep-15 (0 Flock 2EP-15 0C54),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,408,92.6,4,9/15/16,1998-067KL,41764,
Dove 2ep-16 (0 Flock 2EP-16 0C0B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,409,92.6,4,9/15/16,1998-067KK,41763,
Dove 2ep-17 (0 Flock 2EP-17 0C12),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,408,92.6,4,9/15/16,1998-067KN,41776,
Dove 2ep-18 (0 Flock 2EP-18 0C44),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,408,92.6,4,9/16/16,1998-067KM,41769,
Dove 2ep-19 (0 Flock 2EP-19 0C62),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,408,92.6,4,9/15/16,1998-067KQ,41782,
Dove 2ep-2 (0 Flock 2EP-2 0C1B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,400,401,92.5,4,5/17/16,1998-067JB,41481,
Dove 2ep-20 (0 Flock 2EP-20 0C38),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,409,92.6,4,9/17/16,1998-067KP,41777,
Dove 2ep-3 (0 Flock 2EP-3 0D06),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,402,92.5,4,5/17/16,1998-067JA,41480,
Dove 2ep-4 (0 Flock 2EP-4 0C22),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,402,92.5,4,5/17/16,1998-067JC,41482,
Dove 2ep-5 (0 Flock 2EP-5 0C59),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,402,92.5,4,6/1/16,1998-067JR,41567,
Dove 2ep-6 (0 Flock 2EP-6 0C46),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,398,403,92.5,4,6/1/16,1998-067JS,41568,
Dove 2ep-7 (0 Flock 2EP-7 0C42),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,399,402,92.5,4,6/1/16,1998-067JT,41569,
Dove 2ep-8 (0 Flock 2EP-8 0C76),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,396,403,92.5,4,6/1/16,1998-067JU,41570,
Dove 2ep-9 (0 Flock 2EP-9 0C19),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,395,406,92.5,4,6/3/16,1998-067JZ,41575,
Dove 2k-1 (0 Flock 2K-1 0F1A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,476,94,4,7/14/17,2017-042AD,42852,
Dove 2k-10 (0 Flock 2K-10 0F32),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BY,42895,
Dove 2k-11 (0 Flock 2K-11 0F33),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BX,42894,
Dove 2k-12 (0 Flock 2K-12 0F36),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BW,42893,
Dove 2k-13 (0 Flock 2K-13 0F37),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BU,42891,
Dove 2k-14 (0 Flock 2K-14 0F3B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BV,42892,
Dove 2k-15 (0 Flock 2K-15 0F3C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BT,42890,
Dove 2k-16 (0 Flock 2K-16 0F3D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BS,42889,
Dove 2k-17 (0 Flock 2K-17 0F40),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042BR,42888,
Dove 2k-18 (0 Flock 2K-18 0F44),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BQ,42887,
Dove 2k-19 (0 Flock 2K-19 0F46),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042BP,42886,
Dove 2k-2 (0 Flock 2K-2 0F1E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,476,94,4,7/14/17,2017-042AE,42853,
Dove 2k-20 (0 Flock 2K-20 0F47),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042BN,42885,
Dove 2k-21 (0 Flock 2K-21 0F49),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042AM,42860,
Dove 2k-22  (0 Flock  2K-22 0F4A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042AN,42861,
Dove 2k-23 (0 Flock 2K-23 0F4B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,460,475,94,4,7/14/17,2017-042AL,42859,
Dove 2k-24 (0 Flock 2K-24 0F4F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042AJ,42857,
Dove 2k-25 (0 Flock 2K-25 0F4D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042BM,42884,
Dove 2k-26 (0 Flock 2K-26 0F53),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042BL,42883,
Dove 2k-27 (0 Flock 2K-27 0F54),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042BK,42882,
Dove 2k-28 (0 Flock 2K-28 1047),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042BH,42880,
Dove 2k-29  (0 Flock 2K-29 1048),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042AY,42871,
Dove 2k-3 (0 Flock 2K-3 0F21),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,476,94,4,7/14/17,2017-042AB,42850,
Dove 2k-30 (0 Flock 2K-30 1049),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042AZ,42872,
Dove 2k-31 (0 Flock 2K-31 104A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,459,474,94,4,7/14/17,2017-042AW,42869,
Dove 2k-32 (0 Flock 2K-32  104B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042AX,42870,
Dove 2k-33 (0 Flock 2K-33 104C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042BG,42879,
Dove 2k-34 (0 Flock 2K-34 104D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042BF,42878,
Dove 2k-35 (0 Flock 2K-35 104E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042BE,42877,
Dove 2k-36 (0 Flock 2K-36 104F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042BD,42876,
Dove 2k-37 (0 Flock 2K-37 1050),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042AU,42867,
Dove 2k-38 (0 Flock 2K-38 1051),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,475,94,4,7/14/17,2017-042AV,42868,
Dove 2k-39 (0 Flock 2K-39 1052),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,474,94,4,7/14/17,2017-042AT,42866,
Dove 2k-4 (0 Flock 2K-4 0F24),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042AC,42851,
Dove 2k-40 (0 Flock 2K-40 1053),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,474,94,4,7/14/17,2017-042AS,42865,
Dove 2k-41 (0 Flock 2K-41 1054),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,474,94,4,7/14/17,2017-042BC,42875,
Dove 2k-43 (0 Flock 2K-43 1056),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,458,474,94,4,7/14/17,2017-042BB,42874,
Dove 2k-44 (0 Flock 2K-44 1020),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,457,474,94,4,7/14/17,2017-042BA,42873,
Dove 2k-45  (0 Flock 2K-45  100D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,457,474,94,4,7/14/17,2017-042AH,42856,
Dove 2k-46 (0 Flock 2K-46 103F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,457,474,94,4,7/14/17,2017-042AK,42858,
Dove 2k-47 (0 Flock 2K-47 1043),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,457,474,94,4,7/14/17,2017-042AF,42854,
Dove 2k-48 (0 Flock 2K-48 101C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,457,474,94,4,7/14/17,2017--042AG,42855,
Dove 2k-5 (0  Flock 2K-5 0F29),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042AR,42864,
Dove 2k-6 (0 Flock 2K-6 0F2A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042CA,42897,
Dove 2k-7 (0 Flock 2K-7 0F2B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042AP,42862,
Dove 2k-8 (0 Flock 2K-8 0F2D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042AQ,42863,
Dove 2k-9 (0 Flock 2K-9 0F2E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,461,475,94,4,7/14/17,2017-042BZ,42896,
Dove 2p-1 ( (0 Flock 2P-1 0E0D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,513,94.75,4,6/22/16,2016-040U,41617,
Dove 2p-10 (0 Flock 2P-10 0E2F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,513,94.76,4,6/22/16,2016-040P,41612,
Dove 2p-11 (0 Flock 2P-11 0E30),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,518,94.77,4,6/22/16,2016-040K,41608,
Dove 2p-12 (0 Flock 2P-12 0E3A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,499,514,94.75,4,6/22/16,2016-040R,41614,
Dove 2p-2 (0 Flock 2P-2 (0e0E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,499,516,94.77,4,6/22/16,2016-040L,41609,
Dove 2p-3 (0 Flock 2P-3 (0E0F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.75,4,6/22/16,2016-040V,41618,
Dove 2p-4 (0 Flock 2P-4 0E14),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,499,514,94.76,4,6/22/16,2016-040N,41611,
Dove 2p-5 (0 Flock 2P-5 0E16),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.75,4,6/22/16,2016-040T,41616,
Dove 2p-6 (0 Flock 2P-6 0E19),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.75,4,6/22/16,2016-040H,41606,
Dove 2p-7 (0 Flock 2P-7 0E1F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.75,4,6/22/16,2016-040S,41615,
Dove 2p-8 (0 Flock 2P-8 0E20),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.76,4,6/22/16,2016-040Q,41613,
Dove 2p-9 (0 Flock 2P-9 0E26),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,500,514,94.77,4,6/22/16,2016-040M,41610,
Dove 3,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,594,815,98.8,4,11/21/13,2013-066P,39429,Pathfinders for Planet Lab's earth-observing constellation.
Dove 3p-1 (0 Flock 3P-1 1000),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008V,41967,
Dove 3p-10 (0 Flock 3P-10 1022),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008AC,41974,
Dove 3p-11 (0 Flock 3P-11 101F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008AD,41975,
Dove 3p-12 (0 Flock 3P-12 1010),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008AA,41972,
Dove 3p-13 (0 Flock 3P-13 1016),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,502,94.6,4,2/14/17,2017-008CW,42040,
Dove 3p-14 (0 Flock 3P-14 1018),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,502,94.6,4,2/14/17,2017-008BS,42012,
Dove 3p-15  (0 Flock 3P-15 101D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,502,94.6,4,2/14/17,2017-008CV,42039,
Dove 3p-16 (0 Flock 3P-16 100E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,502,94.6,4,2/14/17,2017-008BR,42011,
Dove 3p-17 (0 Flock 3P-17 1023),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008Q,41962,
Dove 3p-18 (0 Flock 3P-18  102B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008K,41957,
Dove 3p-19 (0 Flock 3P-19 1024),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008H,41955,
Dove 3p-2 (0 Flock 3P-2 1001),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008U,41966,
Dove 3p-20 (0 Flock 3P-20 1029),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,501,94.6,4,2/14/17,2017-008C,41950,
Dove 3p-21 (0 Flock 3P-21 102A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008M,41959,
Dove 3p-22 (0 Flock 3P-22 1028),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008L,41958,
Dove 3p-23 (0 Flock 3P-23 1025),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,506,94.6,4,2/14/17,2017-008BY,42018,
Dove 3p-24 (0 Flock 3P-24 1026),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008J,41956,
Dove 3p-25 (0 Flock 3P-25 102F),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008S,41964,
Dove 3p-26 (0 Flock 3P-26 102D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008P,41961,
Dove 3p-27 (0 Flock 3P-27 1030),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008R,41963,
Dove 3p-28 (0 Flock 3P-28 102C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008N,41960,
Dove 3p-29 (0 Flock 3P-29 1033),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,508,94.6,4,2/14/17,2017-008DB,42045,
Dove 3p-3 (0 Flock 3P-3 1002),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008W,41968,
Dove 3p-30 (0 Flock 3P-30 102E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,505,94.6,4,2/14/17,2017-008AR,41987,
Dove 3p-31 (0 Flock 3P-31 1032),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,506,94.6,4,2/14/17,2017-008DF,42049,
Dove 3p-32 (0 Flock 3P-32 1035),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,506,94.6,4,2/14/17,2017-008CD,42023,
Dove 3p-33 (0 Flock 3P-33 103C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,505,94.6,4,2/14/17,2017-008AU,41990,
Dove 3p-34 (0 Flock 3P-34 103B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,505,94.6,4,2/14/17,2017-008AS,41988,
Dove 3p-35 (0 Flock 3P-35 103D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,505,94.6,4,2/14/17,2017-008AT,41989,
Dove 3p-36 (0 Flock 3P-36 103A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,505,94.6,4,2/14/17,2017-008AQ,41986,
Dove 3p-37 (0 Flock 3P-37 1037),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,497,497,94.6,4,2/14/17,2017-008F,41953,
Dove 3p-38 (0 Flock 3P-38 1036),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008CT,42037,
Dove 3p-39 (0 Flock 3P-39 103E,USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,502,94.6,4,2/14/17,2017-008CU,42038,
Dove 3p-4 (0 Flock 3P-4 1003),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,507,94.6,4,2/14/17,2017-008T,41965,
Dove 3p-40 (0 Flock 3P-40 1039),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,502,94.6,4,2/14/17,2017-008BQ,42010,
Dove 3p-41 (0 Flock 3P-41 1031),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,405,503,94.6,4,2/14/17,2017-008BJ,42004,
Dove 3p-42 (0 Flock 3P-42 101E),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008BN,42008,
Dove 3p-43 (0 Flock 3P-43 1041),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,503,94.6,4,2/14/17,2017-008BM,42007,
Dove 3p-44 (0 Flock 3P-44 1019),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008CP,42033,
Dove 3p-45 (0 Flock 3P-45 101A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,503,94.6,4,2/14/17,2017-008BK,42005,
Dove 3p-46 (0 Flock 3P-46 1011),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008CM,42031,
Dove 3p-47 (0 Flock 3P-47 1027),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008CN,42032,
Dove 3p-48 (0 Flock 3P-48 1042),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,503,94.6,4,2/14/17,2017-008BL,42006,
Dove 3p-49 (0 Flock 3P-49 1038),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,505,94.6,4,2/14/17,2017-008BF,42001,
Dove 3p-5 (0 Flock 3P-5 0F18),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,496,506,94.6,4,2/14/17,2017-008Z,41971,
Dove 3p-50 (0 Flock 3P-50 1034),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,505,94.6,4,2/14/17,2017-008CK,42029,
Dove 3p-51 (0 Flock 3P-51 1006),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,504,94.6,4,2/14/17,2017-008E,41952,
Dove 3p-52 (0 Flock 3P-52 1044),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,494,505,94.6,4,2/14/17,2017-008CL,42030,
Dove 3p-53 (0 Flock 3P-53 1007),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,495,503,94.6,4,2/14/17,2017-008BT,42013,
