Name,Country,Owner,Use,Purpose,OrbitClass,Perigee,Apogee,Period,Mass,LaunchDate,COSPAR,NORAD,Comments
AprizeSat 5,Canada,Aprize Satellite,Commercial,Communications,LEO,610,694,97.8,12,8/17/11,2011-044E,37792,Continuation of constellation.
AprizeSat 7,Canada,Aprize Satellite,Commercial,Communications,LEO,594,653,97.17,12,11/21/13,2013-066A,39416,Continuation of constellation.
AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,594,669,97.99,12,11/21/13,2013-066K,39425,Continuation of constellation.
AprizeSat 9 (exactView-11),Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,613,715,98,12,6/19/14,2014-033J,40018,Will provide tracking and data monitoring services for companies with remote or mobile assets.
Apstar 6,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,35778,35794,1436.08,4680,4/12/05,2005-012A,28638,
Apstar 7,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,35864,35874,1440.31,5054,3/31/12,2012-013A,38107,Replacement for Apstar 2R.
Apstar 9,China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,35782,35788,1436.01,5200,10/16/15,2015-059A,40982,Replacement for Apstar 9A.
"Apstar 9A (Chinastar-1, ChinaSat-10, Zhongwei 1, Chinasat 5A)",China,APT Satellite Holdings Ltd.,Commercial,Communications,GEO,35778,35795,1436.12,3000,5/30/98,1998-033A,25354,"24 C-band, 24 Ku-band; voice and video communications throughout China and neighboring countries."
Arabsat 5C,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,GEO,35766,35805,1436.06,4630,9/21/11,2011-049B,37810,"26 active C-band transponders, 12 active Ka-band transponders"
Arabsat 7F (Nimiq 1),Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,GEO,35778,35794,1436.09,3600,5/20/99,1999-027A,25740,Television broadcast;  32 Ku-band.
ARC-1 (Alaska Research Satellite-1),USA,University of Alaska-Fairbanks,Civil,Technology Development,LEO,497,801,97.71,1,10/8/15,2015-058F,40969,Development of a cubesat platform by university students.
